city,cloudiness,country,humidity,lat,lng,max temp,wind speed
veraval,90,in,100,49.65,0.71,35.01,8.05
wageningen,0,sr,92,51.98,5.66,29.17,3.36
elk point,90,ca,57,53.9,-110.9,-7.61,10.29
colombo,0,lk,83,6.93,79.85,73.4,13.87
esfahan,0,ir,68,32.66,51.68,26.6,9.17
ribeira grande,75,pt,82,38.52,-28.7,62.6,4.7
tateyama,64,jp,100,36.66,137.31,27.89,3.31
gretna,36,gb,91,55.0,-3.06,32.0,6.93
beringovskiy,92,ru,100,63.05,179.32,1.52,6.78
adrar,0,dz,22,27.87,-0.29,59.0,6.93
bluefields,40,ni,74,12.01,-83.77,84.2,4.7
east london,36,za,100,-33.02,27.91,67.13,18.07
chokurdakh,12,ru,0,70.62,147.9,-41.55,2.98
san patricio,88,mx,73,-26.98,-56.83,75.72,7.0
deputatskiy,0,ru,0,69.3,139.9,-63.51,2.42
fayaoue,0,nc,100,-20.65,166.53,78.92,17.18
turukhansk,68,ru,87,65.8,87.96,11.55,16.84
tuktoyaktuk,75,ca,76,69.44,-133.03,-7.61,10.29
ponta do sol,44,cv,53,-20.63,-46.0,85.17,5.55
yulara,68,au,47,-25.24,130.99,77.0,12.75
porosozero,64,ru,82,62.72,32.71,12.77,4.21
nikolskoye,40,ru,85,59.7,30.79,21.2,4.47
lavrentiya,56,ru,100,65.58,-170.99,3.32,9.24
strezhevoy,0,ru,85,60.73,77.6,17.6,8.95
bethel,90,us,84,60.79,-161.76,4.95,6.93
vostok,56,ru,57,46.45,135.83,-13.11,2.75
norman wells,75,ca,64,65.28,-126.83,1.4,16.11
okhotsk,24,ru,100,59.36,143.24,-13.38,11.59
hermanus,0,za,82,-34.42,19.24,52.5,5.88
zarubino,0,ru,89,42.65,131.06,16.05,11.81
cherskiy,36,ru,45,68.75,161.3,-28.05,5.66
port alfred,32,za,88,-33.59,26.89,65.78,12.37
lorengau,92,pg,100,-2.02,147.27,79.01,9.69
ixtapa,20,mx,57,20.71,-105.21,78.8,6.93
the valley,20,ai,57,18.22,-63.06,81.55,13.87
subiaco,0,it,49,-31.95,115.83,69.13,5.82
khatanga,44,ru,63,71.98,102.47,-8.16,12.93
havoysund,0,no,57,71.0,24.66,23.0,14.99
butaritari,88,ki,100,3.07,172.79,84.0,9.24
jiangyou,0,cn,84,31.78,104.73,25.82,2.64
ust-koksa,32,ru,50,50.27,85.62,-12.66,1.97
mahebourg,40,mu,78,-20.41,57.7,80.6,3.36
rongcheng,0,cn,73,37.16,122.42,31.31,15.39
bathsheba,40,bb,58,13.22,-59.52,84.2,13.87
nyuksenitsa,80,ru,83,60.41,44.24,14.25,10.47
srednekolymsk,0,ru,83,67.46,153.71,-39.08,2.53
yuci,0,cn,32,37.68,112.73,26.6,8.95
weligama,32,lk,100,5.97,80.42,73.74,1.63
jijiga,0,et,83,9.35,42.8,42.47,2.19
villa del rosario,40,ve,69,7.83,-72.47,82.4,5.82
naze,20,jp,79,5.43,7.07,84.2,4.7
torbay,90,ca,97,47.66,-52.73,32.0,17.22
saint anthony,90,ca,78,43.97,-111.68,31.3,4.7
avarua,75,ck,79,-21.21,-159.78,84.2,4.7
gigmoto,92,ph,97,13.78,124.39,78.83,17.29
mataura,92,pf,77,-46.19,168.86,54.08,23.44
namatanai,88,pg,100,-3.66,152.44,79.1,14.83
payo,80,ph,86,-3.75,103.64,75.86,3.87
rudsar,40,ir,87,37.14,50.29,42.8,1.63
fort saint james,92,ca,74,54.43,-124.25,30.5,5.32
manaus,75,br,83,-3.13,-59.98,76.01,17.22
souillac,92,mu,93,45.6,-0.6,43.81,6.93
manzhouli,0,cn,66,49.6,117.43,1.34,12.26
tasiilaq,75,gl,73,65.61,-37.64,24.8,18.34
bambous virieux,40,mu,78,-20.34,57.76,80.6,3.36
victoria,75,sc,94,5.28,115.24,79.7,8.05
carnarvon,0,au,25,-30.97,22.13,57.41,12.71
bar-le-duc,90,fr,74,48.77,5.16,35.02,5.82
atuona,44,pf,100,-9.8,-139.03,81.17,15.05
balkhash,36,kz,74,46.84,74.98,13.31,10.69
malappuram,0,in,83,11.04,76.08,75.2,2.24
tiksi,0,ru,0,71.64,128.87,-48.17,2.64
beian,75,cn,80,63.66,9.57,30.2,20.8
bluff,0,nz,88,-23.58,149.07,69.65,7.23
santa fe,0,pa,69,-31.62,-60.7,76.04,11.25
puerto carreno,40,co,39,6.19,-67.49,96.8,5.82
lasa,75,cn,76,34.92,32.53,53.6,8.05
esperance,20,au,55,10.24,-61.45,86.0,13.87
cape town,0,za,63,-33.93,18.42,62.6,20.8
whitehorse,90,ca,84,60.72,-135.06,5.0,6.93
tuatapere,44,nz,100,-46.13,167.69,53.9,23.55
thinadhoo,80,mv,100,0.53,72.93,80.63,9.24
millville,90,us,69,39.4,-75.04,37.83,11.41
kurumkan,12,ru,53,54.33,110.32,-13.25,1.63
mbini,20,gq,100,1.58,9.62,79.1,6.22
mul,0,in,74,20.07,79.68,55.25,2.86
pevek,36,ru,100,69.7,170.27,-19.28,7.67
port hedland,0,au,83,-20.31,118.58,82.4,4.7
edea,40,cm,88,3.8,10.13,82.4,4.7
punta arenas,0,cl,42,-53.16,-70.91,62.6,31.09
longyearbyen,20,sj,64,78.22,15.63,-2.21,9.17
arraial do cabo,0,br,52,-22.97,-42.02,91.45,14.99
jinchang,76,cn,85,38.52,102.19,13.31,2.75
jonkoping,75,se,86,57.78,14.16,33.8,10.29
lincoln,75,us,86,53.23,-0.54,37.85,2.24
constitucion,75,mx,23,23.99,-104.67,60.8,8.05
yellowknife,75,ca,75,62.45,-114.38,-14.81,14.99
raudeberg,0,no,86,61.99,5.14,33.8,8.05
ushuaia,40,ar,58,-54.81,-68.31,57.2,35.57
puerto ayora,75,ec,74,-0.74,-90.35,82.4,16.11
albany,90,au,55,42.65,-73.75,20.64,10.29
zyryanovsk,20,kz,55,49.74,84.27,1.74,2.08
ca mau,0,vn,90,9.18,105.15,77.21,12.37
kontagora,8,ng,47,10.4,5.47,76.04,5.77
saint-philippe,90,re,62,45.36,-73.48,-9.94,5.82
hobart,75,au,55,-42.88,147.33,62.6,9.17
oyama,20,jp,63,36.31,139.8,28.4,2.24
sinjar,0,iq,83,35.59,37.0,31.13,3.2
leshukonskoye,68,ru,85,64.9,45.76,8.72,4.21
provideniya,80,ru,100,64.42,-173.23,15.24,4.43
san felipe,0,mx,58,-32.75,-70.73,74.33,2.42
ferme-neuve,76,ca,62,46.7,-75.45,-7.8,3.53
usinsk,8,ru,67,66.0,57.56,-9.33,2.75
bintulu,90,my,94,3.17,113.03,75.2,4.7
dilla,56,et,57,6.41,38.31,55.88,1.86
manggar,76,id,100,-2.88,108.27,77.48,9.01
tilichiki,92,ru,88,60.47,166.1,18.44,5.99
katsuura,75,jp,75,33.93,134.5,42.8,5.82
iqaluit,75,ca,62,63.75,-68.52,-14.81,18.34
barcelona,20,ve,81,41.38,2.18,42.78,3.36
tansen,0,np,79,27.87,83.55,44.18,2.08
dikson,64,ru,98,73.51,80.55,8.99,7.67
najran,5,sa,36,17.54,44.22,60.8,4.7
amapa,20,br,62,15.09,-87.97,86.0,5.82
camacha,75,pt,72,33.08,-16.33,60.8,16.11
dunedin,0,nz,59,-45.87,170.5,55.61,22.55
busselton,0,au,96,-33.64,115.35,70.19,10.69
vaini,0,to,77,15.34,74.49,61.14,2.64
port elizabeth,90,za,69,39.31,-74.98,38.14,11.41
goundam,0,ml,33,16.42,-3.66,64.02,12.03
gonbad-e qabus,92,ir,93,37.25,55.17,40.05,4.7
kapaa,20,us,70,22.08,-159.32,73.92,14.99
sistranda,75,no,80,63.73,8.83,30.2,20.8
airai,20,pw,96,-8.93,125.41,69.11,1.07
gold coast,75,au,88,-28.0,153.41,73.4,3.36
santa vitoria,8,br,58,-7.82,-67.03,91.74,5.77
sur,0,om,100,22.57,59.53,71.04,9.8
tazovskiy,68,ru,77,67.47,78.7,7.01,16.84
rikitea,32,pf,100,-23.12,-134.97,79.5,11.25
itacoatiara,44,br,83,-3.14,-58.44,82.2,2.75
mildura,68,au,37,-34.18,142.16,68.0,10.29
helsinki,75,fi,92,60.17,24.94,28.4,13.87
new norfolk,75,au,55,-42.78,147.06,62.6,9.17
hilo,90,us,81,19.71,-155.08,71.06,3.36
omboue,56,ga,100,-1.57,9.26,81.44,9.46
alofi,36,nu,88,-19.06,-169.92,82.4,8.05
faya,0,td,82,18.39,42.45,54.46,6.93
mumbwa,36,zm,92,-14.99,27.06,66.27,5.77
mount isa,0,au,27,-20.73,139.49,86.0,8.05
axim,8,gh,100,4.87,-2.24,82.74,9.46
ostrovnoy,8,ru,69,68.05,39.51,-10.23,4.43
faanui,32,pf,100,-16.48,-151.75,82.52,13.6
anadyr,40,ru,83,64.73,177.51,-7.61,8.95
keti bandar,0,pk,100,24.14,67.45,68.12,9.69
kormilovka,90,ru,100,55.0,74.1,17.6,2.24
polovinnoye,56,ru,87,54.79,65.99,10.2,10.47
nguru,12,ng,31,12.88,10.45,68.12,7.67
karlshamn,64,se,95,56.17,14.86,33.8,8.05
qom,0,ir,77,34.64,50.88,29.1,4.99
akhtanizovskaya,80,ru,100,45.32,37.1,35.6,8.95
neokhorion,56,gr,79,41.18,23.25,24.24,1.97
shibetsu,80,jp,87,44.15,142.46,18.17,2.19
charyshskoye,12,ru,64,51.4,83.56,14.57,6.67
rocha,32,uy,61,-34.48,-54.34,70.01,12.59
arlit,100,ne,36,18.74,7.39,70.19,7.67
hovd,75,mn,86,63.83,10.7,29.34,14.99
port lincoln,24,au,96,-34.72,135.86,64.88,9.69
saint-ambroise,75,ca,100,47.25,-0.65,42.8,2.24
minsk,0,by,92,53.9,27.56,21.2,6.71
jamestown,88,sh,80,-33.21,138.6,61.5,4.99
yurimaguas,75,pe,79,-5.9,-76.1,84.2,3.36
qaanaaq,0,gl,100,77.48,-69.36,-25.35,10.47
sandwick,76,gb,100,54.57,-2.89,32.0,6.93
isangel,92,vu,100,-19.55,169.27,78.83,17.74
yerbogachen,80,ru,89,61.28,108.01,12.27,7.78
umm lajj,0,sa,100,25.02,37.27,57.5,6.67
hithadhoo,88,mv,100,-0.6,73.08,80.4,7.23
luderitz,0,na,51,-26.65,15.16,66.54,25.23
erzurum,12,tr,83,39.91,41.27,-11.21,2.24
esil,64,kz,90,51.96,66.41,25.14,10.13
forestville,90,ca,63,48.74,-69.09,-11.21,8.05
blomberg,0,de,63,51.94,9.09,28.0,9.17
coihaique,40,cl,38,-45.58,-72.07,75.2,11.41
erenhot,0,cn,56,43.65,111.97,-7.26,9.57
phalaborwa,36,za,69,-23.95,31.14,73.4,19.46
muli,0,mv,69,22.62,71.45,56.55,2.64
saskylakh,56,ru,69,71.97,114.09,-23.55,12.71
manado,20,id,94,1.49,124.85,75.2,2.24
ormara,80,pk,96,25.21,64.64,70.1,5.21
acari,48,pe,95,-6.44,-36.64,71.27,4.43
dauphin,1,ca,68,51.15,-100.04,-14.81,3.36
thatta,40,pk,87,31.7,74.64,50.95,2.75
kholm,76,ru,89,57.15,31.18,22.89,12.93
bredasdorp,20,za,54,-34.53,20.04,59.0,3.36
ushtobe,8,kz,54,45.25,77.98,11.64,2.08
vanino,76,ru,89,53.93,40.55,22.67,11.81
